20120104e,이만나展 / LEEMANNA / 李만나 / painting,The Wayside,solo exhibition,이만나,깊이 없는 풍경,종이에 아크릴채색 파스텔,38×58cm 38×53cm 38×58cm,2006,https://neolook.com/archives/2012010405e.jpg
20120104e,이만나展 / LEEMANNA / 李만나 / painting,The Wayside,solo exhibition,이만나,모퉁이,캔버스에 유채,50×65cm,2011,https://neolook.com/archives/2012010406e.jpg
20120104f,제프 그랜트展 / Jeff Grant / installation,ETIOLATED CREATION,solo exhibition,제프 그랜트,Bosch 58. The Creation,Collage: sandpaper and book page on paper,26.6×18cm,2011,https://neolook.com/archives/2012010401f.jpg
20120104f,제프 그랜트展 / Jeff Grant / installation,ETIOLATED CREATION,solo exhibition,제프 그랜트,Black cast (left full piece right detail),Nylon cord metal ring nails,Size variable,2011,https://neolook.com/archives/2012010402f.jpg
20120104f,제프 그랜트展 / Jeff Grant / installation,ETIOLATED CREATION,solo exhibition,제프 그랜트,Gray bodies over green curves,Graphite and colored pencil on paper,41×29.2cm,2011,https://neolook.com/archives/2012010403f.jpg
20120104f,제프 그랜트展 / Jeff Grant / installation,ETIOLATED CREATION,solo exhibition,제프 그랜트,Gray and yellow bodies set,Graphite and colored pencil on paper,41×29.2cm,2011,https://neolook.com/archives/2012010404f.jpg
20120104f,제프 그랜트展 / Jeff Grant / installation,ETIOLATED CREATION,solo exhibition,제프 그랜트,Point drape,Wire metal and rubber,5.8×79×6cm,2011,https://neolook.com/archives/2012010405f.jpg
20120104f,제프 그랜트展 / Jeff Grant / installation,ETIOLATED CREATION,solo exhibition,제프 그랜트,Clipped line,Wire nails clips and tape,71×28.6cm,2011,https://neolook.com/archives/2012010406f.jpg
20120104f,제프 그랜트展 / Jeff Grant / installation,ETIOLATED CREATION,solo exhibition,제프 그랜트,Creation under black,Collage: sandpaper and book page on paper,26.6×18cm,2011,https://neolook.com/archives/2012010407f.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,김명희,Butterfly yellow on Black,C 프린트,130×158cm,2009,https://neolook.com/archives/2012010401g.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,이영희,infinite dream,캔버스에 유채,135×135cm,2011,https://neolook.com/archives/2012010402g.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,박광자,PARTITA,캔버스에 아크릴채색,30×30cm×12,2010,https://neolook.com/archives/2012010404g.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,정지원,사방치기1,아크릴채색 혼합재료,52.4×52.4cm,2011,https://neolook.com/archives/2012010405g.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,최재형,untitle,순지에 혼합재료,100호,2011,https://neolook.com/archives/2012010406g.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,그래피가가,너에게 나를 보낸다,캔버스에 아크릴채색 펜,116×90cm,2011,https://neolook.com/archives/2012010407g.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,안지현,dream of dream,아크릴채색 펜 잉크,33.4×53cm,2011,https://neolook.com/archives/2012010408g.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,최시평,대머리1호,장지에 채색,116×91cm,2011,https://neolook.com/archives/2012010409g.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,임희정,Wing1 Wing2,합성수지에 아크릴채색,각 76×110cm,2011,https://neolook.com/archives/2012010410g.jpg
20120104g,2012_0104 ▶ 2012_0110,2부 하얀 정글,other,허상범,전쟁중인 미국병사의 창백한 눈빛,영상 설치,180×250cm,2011,https://neolook.com/archives/2012010411g.jpg
20120104h,2012_0104 ▶ 2012_0110,BELT 2012 선정작가,other,최인호,'어머니와 함께라면' 2,목판화 페이퍼릴리프 한지에 아크릴채색,80×120cm,2010,https://neolook.com/archives/2012010402h.jpg
20120105a,2012_0105 ▶ 2012_0121 / 일요일 휴관,나*** 화가,other,서용선,자화상,닥지에 아크릴채색,91×73cm,2009~10,https://neolook.com/archives/2012010502a.jpg
20120105a,2012_0105 ▶ 2012_0121 / 일요일 휴관,나*** 화가,other,임만혁,풍경10-2,한지에 목탄채색,55×143cm,2010,https://neolook.com/archives/2012010503a.jpg
20120105a,2012_0105 ▶ 2012_0121 / 일요일 휴관,나*** 화가,other,임만혁,가족이야기09-10,한지에 목탄채색,116.8×91cm,2009,https://neolook.com/archives/2012010504a.jpg
20120105a,2012_0105 ▶ 2012_0121 / 일요일 휴관,나*** 화가,other,공성훈,담배피우는 남자(태종대),캔버스에 유채,182×121.8cm,2011,https://neolook.com/archives/2012010505a.jpg
20120105a,2012_0105 ▶ 2012_0121 / 일요일 휴관,나*** 화가,other,공성훈,노을(섭지코지),캔버스에 유채,72.7×90.9cm,2011,https://neolook.com/archives/2012010506a.jpg
20120105a,2012_0105 ▶ 2012_0121 / 일요일 휴관,나*** 화가,other,함명수,City scape,캔버스에 유채,90.9×65.1cm,2011,https://neolook.com/archives/2012010507a.jpg
20120105a,2012_0105 ▶ 2012_0121 / 일요일 휴관,나*** 화가,other,함명수,City scape,캔버스에 유채,72.7×53cm,2011,https://neolook.com/archives/2012010508a.jpg
20120105a,2012_0105 ▶ 2012_0121 / 일요일 휴관,나*** 화가,other,민재영,休日(holiday),한지에 수묵채색,130×170cm,2010,https://neolook.com/archives/2012010509a.jpg
20120105a,2012_0105 ▶ 2012_0121 / 일요일 휴관,나*** 화가,other,민재영,pm6.00,한지에 수묵채색,75×51cm,2010 ,https://neolook.com/archives/2012010510a.jpg
20120105a,2012_0105 ▶ 2012_0121 / 일요일 휴관,나*** 화가,other,김춘수,ULTRA-MARINE1165,캔버스에 유채,100×100cm,2011,https://neolook.com/archives/2012010511a.jpg
20120105a,2012_0105 ▶ 2012_0121 / 일요일 휴관,나*** 화가,other,김춘수,ULTRA-MARINE1152,캔버스에 유채,200×200cm,2011,https://neolook.com/archives/2012010512a.jpg
20120105a,2012_0105 ▶ 2012_0121 / 일요일 휴관,나*** 화가,other,조환,Untitled,스틸 폴리 에나멜,179×67×10cm,2011,https://neolook.com/archives/2012010514a.jpg
20120105b,2011 아르코 지역 네트워크展,비밀*** 오차의 범위(the Secret),exhibition,김영헌,Eletronic cloud-p1105,캔버스에 아크릴채색,146×112cm,2011,https://neolook.com/archives/2012010503b.jpg
20120105b,2011 아르코 지역 네트워크展,비밀*** 오차의 범위(the Secret),exhibition,김윤아,Rains,실,설치,2011,https://neolook.com/archives/2012010505b.jpg
20120105b,2011 아르코 지역 네트워크展,비밀*** 오차의 범위(the Secret),exhibition,박종영,피노키오 이브,나무 센서 모터,150×60×60cm,2009,https://neolook.com/archives/2012010506b.jpg
20120105b,2011 아르코 지역 네트워크展,비밀*** 오차의 범위(the Secret),exhibition,박주현,별,도끼,40×20×18.5cm,2011,https://neolook.com/archives/2012010507b.jpg
20120105b,2011 아르코 지역 네트워크展,비밀*** 오차의 범위(the Secret),exhibition,서정우,20090320-PM0413,캔버스에 유채,116.8×91cm,2011,https://neolook.com/archives/2012010508b.jpg
20120105b,2011 아르코 지역 네트워크展,비밀*** 오차의 범위(the Secret),exhibition,윤송이,우주의 신용도,캔버스에 아크릴채색,150×150cm,2011,https://neolook.com/archives/2012010509b.jpg
20120105b,2011 아르코 지역 네트워크展,비밀*** 오차의 범위(the Secret),exhibition,윤영화,침묵의 바다,동영상,00:17:00,2011,https://neolook.com/archives/2012010510b.jpg
20120105b,2011 아르코 지역 네트워크展,비밀*** 오차의 범위(the Secret),exhibition,이선경,얼굴,종이에 오일스틱,110×160cm,2006,https://neolook.com/archives/2012010511b.jpg
20120105b,2011 아르코 지역 네트워크展,비밀*** 오차의 범위(the Secret),exhibition,이소영,초현실적인 집,디지털 프린트,160×351cm,2009,https://neolook.com/archives/2012010512b.jpg
20120105b,2011 아르코 지역 네트워크展,비밀*** 오차의 범위(the Secret),exhibition,이조흠,사회의 교집합 no 11,캔버스에 아크릴채색,100×200cm,2010,https://neolook.com/archives/2012010514b.jpg
20120105b,2011 아르코 지역 네트워크展,비밀*** 오차의 범위(the Secret),exhibition,한승구,Mirror Mask,랜티큘러,62×100cm,2011,https://neolook.com/archives/2012010515b.jpg
20120106a,김현희展 / KIMHYUNHEE / 金賢姬 / crafts,福을 繡놓다,solo exhibition,김현희,수보자기 Embroidered Pojaki,양단 실크,41×41cm 끈,60cm,https://neolook.com/archives/2012010605a.jpg
20120106b,2012_0106 ▶ 2012_0126 / 주말 휴관,CONCERT / CONCEPT,other,김지은,LakeⅡ,캔버스에 아크릴채색,80.3×116.8cm,2011,https://neolook.com/archives/2012010602b.jpg
20120106b,2012_0106 ▶ 2012_0126 / 주말 휴관,CONCERT / CONCEPT,other,신두희,Healing,캔버스에 아크릴채색,31.8×40.9cm,2011,https://neolook.com/archives/2012010603b.jpg
