20090105e,2009_0109 ▶ 2009_0207 / 일요일 휴관,배찬효展 / BAECHANHYO / 裵燦孝 / photography,other,배찬효,Existing in Costume 17,C 프린트,120×96cm,2008,https://neolook.com/archives/2009010505e.jpg
20090105e,2009_0109 ▶ 2009_0207 / 일요일 휴관,배찬효展 / BAECHANHYO / 裵燦孝 / photography,other,배찬효,Existing in Costume 16,C 프린트,120×96cm,2008,https://neolook.com/archives/2009010506e.jpg
20090105e,2009_0109 ▶ 2009_0207 / 일요일 휴관,배찬효展 / BAECHANHYO / 裵燦孝 / photography,other,배찬효,Untitled-Cinderella,C 프린트,180×230cm,2008,https://neolook.com/archives/2009010507e.jpg
20090105f,윤정미展 / YOONJEONGMEE / 尹丁美 / photography,The Pink & Blue Project,solo exhibition,윤정미,블루 프로젝트,선재와 승재 그리고 그들의 파란색 물건들,라이트젯 프린트,2008,https://neolook.com/archives/2009010501f.jpg
20090105f,윤정미展 / YOONJEONGMEE / 尹丁美 / photography,The Pink & Blue Project,solo exhibition,윤정미,블루 프로젝트,정훈이와 정훈이의 파란색 물건들,라이트젯 프린트,2008,https://neolook.com/archives/2009010502f.jpg
20090105f,윤정미展 / YOONJEONGMEE / 尹丁美 / photography,The Pink & Blue Project,solo exhibition,윤정미,블루 프로젝트,호재와 호재의 파란색 물건들,라이트젯 프린트,2008,https://neolook.com/archives/2009010503f.jpg
20090105f,윤정미展 / YOONJEONGMEE / 尹丁美 / photography,The Pink & Blue Project,solo exhibition,윤정미,핑크 프로젝트,지원이과 지원이의 핑크색물건들,라이트젯 프린트,2008,https://neolook.com/archives/2009010504f.jpg
20090105f,윤정미展 / YOONJEONGMEE / 尹丁美 / photography,The Pink & Blue Project,solo exhibition,윤정미,핑크 프로젝트,서우와 서우의 핑크색 물건들02,라이트젯 프린트,2008,https://neolook.com/archives/2009010505f.jpg
20090105f,윤정미展 / YOONJEONGMEE / 尹丁美 / photography,The Pink & Blue Project,solo exhibition,윤정미,핑크 프로젝트,지유와 지유의 핑크색 물건들,라이트젯 프린트,2008,https://neolook.com/archives/2009010506f.jpg
20090105g,변대용展 / BYUNDAEYONG / 卞大龍 / sculpture,장화신은 두루미와 아이스크림 먹는 백곰,solo exhibition,변대용,아이스크림 먹는 백곰 Ⅰ,합성수지 레진,180×220×170cm,2008,https://neolook.com/archives/2009010501g.jpg
20090105g,변대용展 / BYUNDAEYONG / 卞大龍 / sculpture,장화신은 두루미와 아이스크림 먹는 백곰,solo exhibition,변대용,아이스크림 먹는 백곰 Ⅱ,합성수지 레진,18×50×35cm,2008,https://neolook.com/archives/2009010502g.jpg
20090105g,변대용展 / BYUNDAEYONG / 卞大龍 / sculpture,장화신은 두루미와 아이스크림 먹는 백곰,solo exhibition,변대용,아이스크림 먹는 백곰 Ⅲ,합성수지 레진,50×31×42cm,2008,https://neolook.com/archives/2009010503g.jpg
20090105g,변대용展 / BYUNDAEYONG / 卞大龍 / sculpture,장화신은 두루미와 아이스크림 먹는 백곰,solo exhibition,변대용,아이스크림 먹는 백곰 Ⅳ,합성수지 레진,20×40×45cm,2008,https://neolook.com/archives/2009010504g.jpg
20090105g,변대용展 / BYUNDAEYONG / 卞大龍 / sculpture,장화신은 두루미와 아이스크림 먹는 백곰,solo exhibition,변대용,뜨거운 아이스크림,합성수지 레진,35×35×55cm×2,2008,https://neolook.com/archives/2009010505g.jpg
20090105g,변대용展 / BYUNDAEYONG / 卞大龍 / sculpture,장화신은 두루미와 아이스크림 먹는 백곰,solo exhibition,변대용,장화신은 두루미,합성수지 레진,110×58×200cm,2008,https://neolook.com/archives/2009010506g.jpg
20090105g,변대용展 / BYUNDAEYONG / 卞大龍 / sculpture,장화신은 두루미와 아이스크림 먹는 백곰,solo exhibition,변대용,장화 그라데이션,합성수지 레진,100×40×60cm,2008,https://neolook.com/archives/2009010507g.jpg
20090106a,Artists upbringing project-Preview Part Ⅰ展,Neo-Inscription,exhibition,장윤경,종헌이의 생일,캔버스에 유채,112×162cm,2008,https://neolook.com/archives/2009010602a.jpg
20090106a,Artists upbringing project-Preview Part Ⅰ展,Neo-Inscription,exhibition,박현배,D-53,혼합재료,50×50cm,2006,https://neolook.com/archives/2009010603a.jpg
20090106a,Artists upbringing project-Preview Part Ⅰ展,Neo-Inscription,exhibition,김용철,피어오르다-뿔꽃,캔버스에 아크릴채색,162.5×130cm,2007,https://neolook.com/archives/2009010604a.jpg
20090106a,Artists upbringing project-Preview Part Ⅰ展,Neo-Inscription,exhibition,이은경,...blue,캔버스에 유채,72.7×116.7cm,2008,https://neolook.com/archives/2009010605a.jpg
20090106a,Artists upbringing project-Preview Part Ⅰ展,Neo-Inscription,exhibition,황지현,Love Paradise,캔버스에 아크릴채색,91×116.8cm,2008,https://neolook.com/archives/2009010606a.jpg
20090106b,2009_0115 ▶ 2009_0117,창동스튜디오 7기 입주작가 Artist Talk,other,권준호,매달린 침대-건물과 건물 사이 설치,혼합재료,250×150×1600cm,2007,https://neolook.com/archives/2009010608b.jpg
20090106c,김민정_이은영_윤혜준展,beyond Gardencity,exhibition,김민정,Looking Into,디지털 프린트,30×100cm,2008,https://neolook.com/archives/2009010601c.jpg
20090106c,김민정_이은영_윤혜준展,beyond Gardencity,exhibition,김민정,Hither and Thither,혼합재료,가변크기,2008,https://neolook.com/archives/2009010602c.jpg
20090106c,김민정_이은영_윤혜준展,beyond Gardencity,exhibition,김민정,Back and Forth,캔버스에 실 아크릴채색,82×82cm,2006,https://neolook.com/archives/2009010603c.jpg
20090106c,김민정_이은영_윤혜준展,beyond Gardencity,exhibition,이은영,Untitled,보드에 유채,80×80cm,2006,https://neolook.com/archives/2009010604c.jpg
20090106c,김민정_이은영_윤혜준展,beyond Gardencity,exhibition,이은영,Untitled,보드에 유채,80×80cm,2006,https://neolook.com/archives/2009010605c.jpg
20090106c,김민정_이은영_윤혜준展,beyond Gardencity,exhibition,윤혜준,Untitled,보드에 혼합재료,150×150cm,2007,https://neolook.com/archives/2009010606c.jpg
20090106c,김민정_이은영_윤혜준展,beyond Gardencity,exhibition,윤혜준,Untitled,보드에 혼합재료,150×150cm,2007,https://neolook.com/archives/2009010607c.jpg
20090106d,김선회展 / KIMSUNHOE / 金善會 / photography,Finding Sun in the city,solo exhibition,김선회,Trafalgar Square,아카이벌 피그먼트 프린트,60×80cm,2007,https://neolook.com/archives/2009010601d.jpg
20090106d,김선회展 / KIMSUNHOE / 金善會 / photography,Finding Sun in the city,solo exhibition,김선회,Big Ben,아카이벌 피그먼트 프린트,130×100cm,2007,https://neolook.com/archives/2009010602d.jpg
