20010503a,최소연 회화展,얍!,exhibition,최소연,스펀지,종이에 과슈,190×147.5cm,2000,https://neolook.com/archives/2001050303a.jpg
20010503a,최소연 회화展,얍!,exhibition,최소연,병,캔버스에 아크릴,69.5×130cm,2001,https://neolook.com/archives/2001050304a.jpg
20010503a,최소연 회화展,얍!,exhibition,최소연,실종,종이에 아크릴,각 130×130cm,2001,https://neolook.com/archives/2001050305a.jpg
20010504a,류지선 회화展,사이비 동물원,exhibition,류지선,들소,캔버스에 실리콘,130×90cm,2001,https://neolook.com/archives/2001050401a.jpg
20010505a,우상호 회화展,KARMA,exhibition,우상호,KARMA 샘·원천,종이에 먹,46×21cm,2000,https://neolook.com/archives/2001050501a.jpg
20010506a,1부 / 2001_0420 ▶ 2001_0505,SUB+WAY,other,김정욱, ,한지에 먹 채색,94.5×63cm,1999,https://neolook.com/archives/2001050601a.jpg
20010506a,1부 / 2001_0420 ▶ 2001_0505,SUB+WAY,other,이정승원,말할 수 없음,Post-it,250.8×250.8cm,1998,https://neolook.com/archives/2001050602a.jpg
20010506a,1부 / 2001_0420 ▶ 2001_0505,SUB+WAY,other,김정선,정민과 정은,종이에 유채,100×70cm,2000,https://neolook.com/archives/2001050605a.jpg
20010506a,1부 / 2001_0420 ▶ 2001_0505,SUB+WAY,other,정광현,Untitled,벽면에 드로잉,50×30cm,2001,https://neolook.com/archives/2001050606a.jpg
20010507a,윤석구_이종빈_채우승 조각展,자본주의 문화 인간,exhibition,윤석구,Capitalism,합성수지에 채색,40×40×110cm,2001,https://neolook.com/archives/2001050701a.jpg
20010507a,윤석구_이종빈_채우승 조각展,자본주의 문화 인간,exhibition,채우승,무제||,합성수지에 채색,55×165×18cm,2001,https://neolook.com/archives/2001050702a.jpg
20010507a,윤석구_이종빈_채우승 조각展,자본주의 문화 인간,exhibition,이종빈,거대한 Sketch book,합성수지에 채색 와이어,90×120×16cm,2001,https://neolook.com/archives/2001050703a.jpg
20010515a,김일용 조각展,The Shell,exhibition,김일용,껍질,석고,24×26.5×10cm,2001,https://neolook.com/archives/2001051501a.jpg
20010516a,정주하 사진展,혜생원,exhibition,정주하,혜생원,젤라틴 실버 프린트,14×11inch,1983,https://neolook.com/archives/2001051601a.jpg
20010521a,김근표 사진展,익숙하지만 낯선,exhibition,김근표,익숙하지만 낯선,흑백인화,11×14inch,2000,https://neolook.com/archives/2001052101a.jpg
20010523a,조미영展 / CHOMIYOUNG / 趙美英 / painting,돌·盲·인,solo exhibition,조미영,기상,한지에 먹,2001,부분,https://neolook.com/archives/2001052303a.jpg
20010525a,이강우展 / LEEGANGWOO / 李康雨 / photography,신체풍경-Young Persons,solo exhibition,이강우,문화풍경 시선 그리고 개념적 색채에 관하여,시바크롬 프린트,각 250×70cm,2000,https://neolook.com/archives/2001052501a.jpg
20010527a,정명조展 / JEONGMYOUNGJO / 鄭明祚 / painting,상상을 넘어선 아름다움,solo exhibition,정명조,상상을 넘어선 아름다움,캔버스에 유채,112×162cm,2001,https://neolook.com/archives/2001052701a.jpg
20010527a,정명조展 / JEONGMYOUNGJO / 鄭明祚 / painting,상상을 넘어선 아름다움,solo exhibition,정명조,상상을 넘어선 아름다움,캔버스에 유채,45.5×65.2cm,2001,https://neolook.com/archives/2001052702a.jpg
20010528b,함명수展 / HAMMYUNGSU / 咸明洙 / painting,면발 풍경,solo exhibition,함명수,자화상,캔버스에 유채,162.2×130.3cm,2000,https://neolook.com/archives/2001052801b.jpg
20010528b,함명수展 / HAMMYUNGSU / 咸明洙 / painting,면발 풍경,solo exhibition,함명수,Vincent Van Gohg,캔버스에 유채,162.2×130.3cm,2001,https://neolook.com/archives/2001052803b.jpg
20010528b,함명수展 / HAMMYUNGSU / 咸明洙 / painting,면발 풍경,solo exhibition,함명수,Noodle scape,캔버스에 유채,116.7×91cm,2000,https://neolook.com/archives/2001052804b.jpg
20010528b,함명수展 / HAMMYUNGSU / 咸明洙 / painting,면발 풍경,solo exhibition,함명수,Noodle scape,캔버스에 유채,112×162cm,1999~2000,https://neolook.com/archives/2001052805b.jpg
20010528b,함명수展 / HAMMYUNGSU / 咸明洙 / painting,면발 풍경,solo exhibition,함명수,Cup,캔버스에 유채,72.7×90.9cm,2000,https://neolook.com/archives/2001052806b.jpg
20010528b,함명수展 / HAMMYUNGSU / 咸明洙 / painting,면발 풍경,solo exhibition,함명수,Tunnel,캔버스에 유채,162×227cm,2001,https://neolook.com/archives/2001052807b.jpg
20010529a,임창재 감독展,상흔***기억의 편린,exhibition,임창재,아쿠아 레퀴엠,칼러 16mm,00:27:00,1999,https://neolook.com/archives/2001052901a.jpg
20010531a,박윤경 회화展,City-Daily Festival,exhibition,박윤경,BIG Wheel,판넬에 아크릴채색,ø148.0cm,2001,https://neolook.com/archives/2001053101a.jpg
20010602a,김미혜展 / KIMMIHYE / 金美惠 / painting,구석진 자리,solo exhibition,김미혜,예찬,캔버스에 아크릴채색,130.3×162.1cm,2001,https://neolook.com/archives/2001060201a.jpg
20010603a,백인정展 / BAIKINJUNG / 白寅靜 / sculpture,섬,solo exhibition,백인정,섬,석고 철,각 50×200×70cm,2001,https://neolook.com/archives/2001060301a.jpg
20010604a,조경선 회화展,시계는 아침부터 똑딱똑딱...,exhibition,조경선,시계는 아침부터 똑딱똑딱,판넬에 아크릴채색,지름 30cm,2001,https://neolook.com/archives/2001060401a.jpg
20010608a,김주현展 / KIMJOOHYUN / 金珠賢 / sculpture,쌓기,solo exhibition,김주현,무제,알루미늄판 잘라서 쌓기,60×60×60cm,2000,https://neolook.com/archives/2001060801a.jpg
20010612a,염동철展 / YOUMDONGCHEOL / 廉東哲 / video,물을 거슬러 헤엄치다,solo exhibition,염동철,상수원수 3급수,단채널 비디오 영상,00:01:56,2001,https://neolook.com/archives/2001061201a.jpg
20010612a,염동철展 / YOUMDONGCHEOL / 廉東哲 / video,물을 거슬러 헤엄치다,solo exhibition,염동철,어항속 TV물고기,단채널 비디오 영상과 설치,00:01:07,2001,https://neolook.com/archives/2001061202a.jpg
20010614a,책임기획_김미진,디지털 시티 Digital city,other,이주용,숨겨진 질서의 복제,30개의 홀로그램,2001,부분,https://neolook.com/archives/2001061401a.jpg
20010616a,권오상展 / GWONOSANG / 權五祥 / sculpture.installation,DEODORANT TYPE,solo exhibition,권오상,350장으로 구성된 뷰파인더에 대한 보고서,컬러사진과 혼합재료,175×60×40cm,2001,https://neolook.com/archives/2001061601a.jpg
20010617a,노승복展 / ROHSEUNGBOK / 盧承福 / installation.video,육·성_肉·聲,solo exhibition,노승복,육·성 #8,3대의 빔프로젝트,00:04:01,2001,https://neolook.com/archives/2001061701a.jpg
20010617a,노승복展 / ROHSEUNGBOK / 盧承福 / installation.video,육·성_肉·聲,solo exhibition,노승복,육·성 #9,3대의 빔프로젝트,00:03:01,2001,https://neolook.com/archives/2001061702a.jpg
20010618a,이가경展 / LEEKAKYOUNG / 李佳景 / printing,가경*** 표류하다,exhibition,이가경,가경 표류하다 시리즈 중,부식 동판화,22×30cm,2001,https://neolook.com/archives/2001061801a.jpg
